filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
2684R-A-1-1.png,1094903,"{}",2,0,"{""name"":""rect"",""x"":331,""y"":231,""width"":173,""height"":141}","{}"
2684R-A-1-1.png,1094903,"{}",2,1,"{""name"":""rect"",""x"":347,""y"":758,""width"":154,""height"":117}","{}"
3215R-A-3-1.png,4401513,"{}",55,0,"{""name"":""rect"",""x"":563,""y"":67,""width"":149,""height"":131}","{}"
3215R-A-3-1.png,4401513,"{}",55,1,"{""name"":""rect"",""x"":635,""y"":257,""width"":113,""height"":116}","{}"
3215R-A-3-1.png,4401513,"{}",55,2,"{""name"":""rect"",""x"":46,""y"":571,""width"":129,""height"":121}","{}"
3215R-A-3-1.png,4401513,"{}",55,3,"{""name"":""rect"",""x"":3,""y"":780,""width"":160,""height"":136}","{}"
3215R-A-3-1.png,4401513,"{}",55,4,"{""name"":""rect"",""x"":244,""y"":1032,""width"":147,""height"":160}","{}"
3215R-A-3-1.png,4401513,"{}",55,5,"{""name"":""rect"",""x"":885,""y"":913,""width"":193,""height"":154}","{}"
3215R-A-3-1.png,4401513,"{}",55,6,"{""name"":""rect"",""x"":1186,""y"":571,""width"":134,""height"":167}","{}"
3215R-A-3-1.png,4401513,"{}",55,7,"{""name"":""rect"",""x"":1448,""y"":412,""width"":183,""height"":123}","{}"
3215R-A-3-1.png,4401513,"{}",55,8,"{""name"":""rect"",""x"":2472,""y"":242,""width"":201,""height"":134}","{}"
3215R-A-3-1.png,4401513,"{}",55,9,"{""name"":""rect"",""x"":2604,""y"":741,""width"":136,""height"":136}","{}"
3215R-A-3-1.png,4401513,"{}",55,10,"{""name"":""rect"",""x"":2372,""y"":767,""width"":224,""height"":152}","{}"
3215R-A-3-1.png,4401513,"{}",55,11,"{""name"":""rect"",""x"":2483,""y"":1088,""width"":219,""height"":185}","{}"
3215R-A-3-1.png,4401513,"{}",55,12,"{""name"":""rect"",""x"":2588,""y"":1145,""width"":160,""height"":144}","{}"
3215R-A-3-1.png,4401513,"{}",55,13,"{""name"":""rect"",""x"":2470,""y"":1322,""width"":329,""height"":103}","{}"
3215R-A-3-1.png,4401513,"{}",55,14,"{""name"":""rect"",""x"":1894,""y"":764,""width"":244,""height"":188}","{}"
3215R-A-3-1.png,4401513,"{}",55,15,"{""name"":""rect"",""x"":1163,""y"":978,""width"":172,""height"":152}","{}"
3215R-A-3-1.png,4401513,"{}",55,16,"{""name"":""rect"",""x"":1032,""y"":1122,""width"":193,""height"":139}","{}"
3215R-A-3-1.png,4401513,"{}",55,17,"{""name"":""rect"",""x"":1701,""y"":1117,""width"":183,""height"":183}","{}"
3215R-A-3-1.png,4401513,"{}",55,18,"{""name"":""rect"",""x"":1837,""y"":1114,""width"":105,""height"":144}","{}"
3215R-A-3-1.png,4401513,"{}",55,19,"{""name"":""rect"",""x"":1876,""y"":1289,""width"":108,""height"":87}","{}"
3215R-A-3-1.png,4401513,"{}",55,20,"{""name"":""rect"",""x"":1886,""y"":1019,""width"":214,""height"":486}","{}"
3215R-A-3-1.png,4401513,"{}",55,21,"{""name"":""rect"",""x"":2038,""y"":1279,""width"":347,""height"":260}","{}"
3215R-A-3-1.png,4401513,"{}",55,22,"{""name"":""rect"",""x"":2449,""y"":1459,""width"":113,""height"":188}","{}"
3215R-A-3-1.png,4401513,"{}",55,23,"{""name"":""rect"",""x"":2629,""y"":1631,""width"":157,""height"":129}","{}"
3215R-A-3-1.png,4401513,"{}",55,24,"{""name"":""rect"",""x"":2619,""y"":1693,""width"":105,""height"":129}","{}"
3215R-A-3-1.png,4401513,"{}",55,25,"{""name"":""rect"",""x"":2357,""y"":1608,""width"":206,""height"":90}","{}"
3215R-A-3-1.png,4401513,"{}",55,26,"{""name"":""rect"",""x"":2496,""y"":1634,""width"":75,""height"":98}","{}"
3215R-A-3-1.png,4401513,"{}",55,27,"{""name"":""rect"",""x"":2300,""y"":1749,""width"":129,""height"":113}","{}"
3215R-A-3-1.png,4401513,"{}",55,28,"{""name"":""rect"",""x"":2542,""y"":1811,""width"":165,""height"":219}","{}"
3215R-A-3-1.png,4401513,"{}",55,29,"{""name"":""rect"",""x"":1837,""y"":1731,""width"":190,""height"":108}","{}"
3215R-A-3-1.png,4401513,"{}",55,30,"{""name"":""rect"",""x"":1569,""y"":1248,""width"":141,""height"":178}","{}"
3215R-A-3-1.png,4401513,"{}",55,31,"{""name"":""rect"",""x"":1472,""y"":1436,""width"":208,""height"":149}","{}"
3215R-A-3-1.png,4401513,"{}",55,32,"{""name"":""rect"",""x"":1230,""y"":1454,""width"":167,""height"":160}","{}"
3215R-A-3-1.png,4401513,"{}",55,33,"{""name"":""rect"",""x"":617,""y"":1446,""width"":134,""height"":167}","{}"
3215R-A-3-1.png,4401513,"{}",55,34,"{""name"":""rect"",""x"":252,""y"":1407,""width"":178,""height"":178}","{}"
3215R-A-3-1.png,4401513,"{}",55,35,"{""name"":""rect"",""x"":111,""y"":1549,""width"":180,""height"":167}","{}"
3215R-A-3-1.png,4401513,"{}",55,36,"{""name"":""rect"",""x"":700,""y"":1554,""width"":141,""height"":185}","{}"
3215R-A-3-1.png,4401513,"{}",55,37,"{""name"":""rect"",""x"":965,""y"":1348,""width"":85,""height"":103}","{}"
3215R-A-3-1.png,4401513,"{}",55,38,"{""name"":""rect"",""x"":1423,""y"":1623,""width"":136,""height"":193}","{}"
3215R-A-3-1.png,4401513,"{}",55,39,"{""name"":""rect"",""x"":1510,""y"":1984,""width"":219,""height"":131}","{}"
3215R-A-3-1.png,4401513,"{}",55,40,"{""name"":""rect"",""x"":1963,""y"":2313,""width"":198,""height"":121}","{}"
3215R-A-3-1.png,4401513,"{}",55,41,"{""name"":""rect"",""x"":1677,""y"":2488,""width"":283,""height"":188}","{}"
3215R-A-3-1.png,4401513,"{}",55,42,"{""name"":""rect"",""x"":1075,""y"":2382,""width"":579,""height"":350}","{}"
3215R-A-3-1.png,4401513,"{}",55,43,"{""name"":""rect"",""x"":1086,""y"":2506,""width"":165,""height"":131}","{}"
3215R-A-3-1.png,4401513,"{}",55,44,"{""name"":""rect"",""x"":1186,""y"":2177,""width"":95,""height"":139}","{}"
3215R-A-3-1.png,4401513,"{}",55,45,"{""name"":""rect"",""x"":1045,""y"":1863,""width"":322,""height"":360}","{}"
3215R-A-3-1.png,4401513,"{}",55,46,"{""name"":""rect"",""x"":749,""y"":2079,""width"":152,""height"":183}","{}"
3215R-A-3-1.png,4401513,"{}",55,47,"{""name"":""rect"",""x"":365,""y"":2382,""width"":152,""height"":175}","{}"
3215R-A-3-1.png,4401513,"{}",55,48,"{""name"":""rect"",""x"":10,""y"":2411,""width"":208,""height"":340}","{}"
3215R-A-3-1.png,4401513,"{}",55,49,"{""name"":""rect"",""x"":581,""y"":2591,""width"":118,""height"":123}","{}"
3215R-A-3-1.png,4401513,"{}",55,50,"{""name"":""rect"",""x"":890,""y"":2519,""width"":121,""height"":178}","{}"
3215R-A-3-1.png,4401513,"{}",55,51,"{""name"":""rect"",""x"":774,""y"":2632,""width"":175,""height"":129}","{}"
3215R-A-3-1.png,4401513,"{}",55,52,"{""name"":""rect"",""x"":1037,""y"":2761,""width"":170,""height"":105}","{}"
3215R-A-3-1.png,4401513,"{}",55,53,"{""name"":""rect"",""x"":823,""y"":2753,""width"":221,""height"":111}","{}"
3215R-A-3-1.png,4401513,"{}",55,54,"{""name"":""rect"",""x"":674,""y"":2807,""width"":90,""height"":59}","{}"
3215R-A-5-1.png,1045777,"{}",7,0,"{""name"":""rect"",""x"":95,""y"":391,""width"":128,""height"":174}","{}"
3215R-A-5-1.png,1045777,"{}",7,1,"{""name"":""rect"",""x"":545,""y"":246,""width"":158,""height"":131}","{}"
3215R-A-5-1.png,1045777,"{}",7,2,"{""name"":""rect"",""x"":675,""y"":310,""width"":157,""height"":117}","{}"
3215R-A-5-1.png,1045777,"{}",7,3,"{""name"":""rect"",""x"":582,""y"":410,""width"":134,""height"":116}","{}"
3215R-A-5-1.png,1045777,"{}",7,4,"{""name"":""rect"",""x"":361,""y"":605,""width"":112,""height"":151}","{}"
3215R-A-5-1.png,1045777,"{}",7,5,"{""name"":""rect"",""x"":513,""y"":706,""width"":114,""height"":190}","{}"
3215R-A-5-1.png,1045777,"{}",7,6,"{""name"":""rect"",""x"":649,""y"":790,""width"":144,""height"":104}","{}"
3215R-A-5-4.png,1102726,"{}",6,0,"{""name"":""rect"",""x"":124,""y"":453,""width"":177,""height"":123}","{}"
3215R-A-5-4.png,1102726,"{}",6,1,"{""name"":""rect"",""x"":808,""y"":299,""width"":137,""height"":140}","{}"
3215R-A-5-4.png,1102726,"{}",6,2,"{""name"":""rect"",""x"":263,""y"":516,""width"":169,""height"":104}","{}"
3215R-A-5-4.png,1102726,"{}",6,3,"{""name"":""rect"",""x"":160,""y"":611,""width"":158,""height"":122}","{}"
3215R-A-5-4.png,1102726,"{}",6,4,"{""name"":""rect"",""x"":97,""y"":920,""width"":110,""height"":98}","{}"
3215R-A-5-4.png,1102726,"{}",6,5,"{""name"":""rect"",""x"":2,""y"":815,""width"":67,""height"":133}","{}"
3215R-A-5-5.png,1054828,"{}",5,0,"{""name"":""rect"",""x"":296,""y"":244,""width"":205,""height"":168}","{}"
3215R-A-5-5.png,1054828,"{}",5,1,"{""name"":""rect"",""x"":826,""y"":517,""width"":145,""height"":127}","{}"
3215R-A-5-5.png,1054828,"{}",5,2,"{""name"":""rect"",""x"":220,""y"":521,""width"":189,""height"":173}","{}"
3215R-A-5-5.png,1054828,"{}",5,3,"{""name"":""rect"",""x"":132,""y"":696,""width"":144,""height"":131}","{}"
3215R-A-5-5.png,1054828,"{}",5,4,"{""name"":""rect"",""x"":109,""y"":393,""width"":87,""height"":82}","{}"
3215R-A-5-7.png,10812408,"{}",47,0,"{""name"":""rect"",""x"":8,""y"":180,""width"":267,""height"":159}","{}"
3215R-A-5-7.png,10812408,"{}",47,1,"{""name"":""rect"",""x"":257,""y"":26,""width"":151,""height"":175}","{}"
3215R-A-5-7.png,10812408,"{}",47,2,"{""name"":""rect"",""x"":316,""y"":175,""width"":133,""height"":154}","{}"
3215R-A-5-7.png,10812408,"{}",47,3,"{""name"":""rect"",""x"":447,""y"":459,""width"":164,""height"":154}","{}"
3215R-A-5-7.png,10812408,"{}",47,4,"{""name"":""rect"",""x"":126,""y"":642,""width"":123,""height"":115}","{}"
3215R-A-5-7.png,10812408,"{}",47,5,"{""name"":""rect"",""x"":10,""y"":629,""width"":118,""height"":126}","{}"
3215R-A-5-7.png,10812408,"{}",47,6,"{""name"":""rect"",""x"":1391,""y"":98,""width"":105,""height"":131}","{}"
3215R-A-5-7.png,10812408,"{}",47,7,"{""name"":""rect"",""x"":1668,""y"":77,""width"":151,""height"":213}","{}"
3215R-A-5-7.png,10812408,"{}",47,8,"{""name"":""rect"",""x"":1850,""y"":167,""width"":159,""height"":192}","{}"
3215R-A-5-7.png,10812408,"{}",47,9,"{""name"":""rect"",""x"":2027,""y"":244,""width"":105,""height"":110}","{}"
3215R-A-5-7.png,10812408,"{}",47,10,"{""name"":""rect"",""x"":2045,""y"":364,""width"":151,""height"":159}","{}"
3215R-A-5-7.png,10812408,"{}",47,11,"{""name"":""rect"",""x"":3098,""y"":457,""width"":236,""height"":362}","{}"
3215R-A-5-7.png,10812408,"{}",47,12,"{""name"":""rect"",""x"":1286,""y"":703,""width"":126,""height"":175}","{}"
3215R-A-5-7.png,10812408,"{}",47,13,"{""name"":""rect"",""x"":1324,""y"":860,""width"":118,""height"":103}","{}"
3215R-A-5-7.png,10812408,"{}",47,14,"{""name"":""rect"",""x"":1155,""y"":896,""width"":146,""height"":139}","{}"
3215R-A-5-7.png,10812408,"{}",47,15,"{""name"":""rect"",""x"":459,""y"":793,""width"":200,""height"":159}","{}"
3215R-A-5-7.png,10812408,"{}",47,16,"{""name"":""rect"",""x"":226,""y"":957,""width"":180,""height"":133}","{}"
3215R-A-5-7.png,10812408,"{}",47,17,"{""name"":""rect"",""x"":957,""y"":1181,""width"":131,""height"":162}","{}"
3215R-A-5-7.png,10812408,"{}",47,18,"{""name"":""rect"",""x"":218,""y"":1319,""width"":192,""height"":144}","{}"
3215R-A-5-7.png,10812408,"{}",47,19,"{""name"":""rect"",""x"":26,""y"":1812,""width"":200,""height"":216}","{}"
3215R-A-5-7.png,10812408,"{}",47,20,"{""name"":""rect"",""x"":390,""y"":2053,""width"":187,""height"":162}","{}"
3215R-A-5-7.png,10812408,"{}",47,21,"{""name"":""rect"",""x"":395,""y"":2253,""width"":169,""height"":149}","{}"
3215R-A-5-7.png,10812408,"{}",47,22,"{""name"":""rect"",""x"":888,""y"":1997,""width"":151,""height"":164}","{}"
3215R-A-5-7.png,10812408,"{}",47,23,"{""name"":""rect"",""x"":1070,""y"":2048,""width"":151,""height"":182}","{}"
3215R-A-5-7.png,10812408,"{}",47,24,"{""name"":""rect"",""x"":259,""y"":2710,""width"":144,""height"":141}","{}"
